Provinsi,Jenis Hutan,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Bali,IUPHHK HTI,Kayu Perkebunan,Kayu Indah,Bare Core,Veneer,32.09
Daerah Istimewa Yogyakarta,HKM HD HTR,Kayu Perkebunan,Kayu Indah,Bare Core,Furnitur Kayu,561.96
Jawa Tengah,HKM HD HTR,Kayu Perkebunan,Kelompok Meranti,Bare Core,Kerajinan,8110.18
Jawa Timur,IUPHHK HA,Limbah,Hutan Tanaman Industri,Bare Core,Woodworking,7639.11
Kalimantan Selatan,IUPHHK HA,Kayu Alam,Rimba Campuran,Bare Core,Pulp,180.74
Bali,UPHHK HTR,Kayu Tanaman,Jenis Khusus,Bare Core,Kerajinan,42.23
Daerah Istimewa Yogyakarta,HKM HD Kemitraan,Kayu Alam,Kayu Eboni,Bare Core,Kerajinan,495.57
Jawa Tengah,HKM HD HTR,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Chipwood,5367.83
Jawa Timur,Hutan Produksi,Kayu Tanaman,Kayu Eboni,Bare Core,Pulp,7345.26
Kalimantan Selatan,IUPHHK HTI,Kayu Perkebunan,Hutan Tanaman Industri,Bare Core,Kerajinan,131.1
Bali,IUPHHK RE,Setengah Jadi,Jenis Khusus,Bare Core,Chipwood,38.85
Daerah Istimewa Yogyakarta,HKM HD Kemitraan,Limbah,Kayu Indah,Bare Core,Pulp,1087.97
Jawa Tengah,IUPHHK HTI,Setengah Jadi,Kelompok Meranti,Bare Core,Panel,6316.89
Jawa Timur,HKM HD HTR,Kayu Alam,Kayu Eboni,Bare Core,Woodworking,8341.53
Kalimantan Selatan,Hutan Lindung,Kayu Perkebunan,Kelompok Meranti,Bare Core,Pulp,287.8
Bali,IUPHHK RE,Kayu Alam,Hutan Tanaman Industri,Bare Core,Veneer,32.09
Daerah Istimewa Yogyakarta,Hutan Produksi,Limbah,Kelompok Meranti,Bare Core,Pulp,0.0
Jawa Tengah,IUPHHK HA,Kayu Alam,Jenis Kayu Lainnya,Bare Core,Kerajinan,3252.74
Jawa Timur,HKM HD HTR,Kayu Alam,Rimba Campuran,Bare Core,Furnitur Kayu,4807.98
Kalimantan Selatan,IUPHHK RE,Kayu Alam,Kayu Eboni,Bare Core,Bangunan Prefabrikasi,137.23
Bali,Hutan Lindung,Kayu Tanaman,Jenis Kayu Lainnya,Bare Core,Veneer,0.0
