Provinsi,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Kalimantan Selatan,Kayu Alam,Hutan Tanaman Industri,Bare Core,Bangunan Prefabrikasi,196.59
Kalimantan Timur,Kayu Alam,Hutan Tanaman Industri,Blockboard,Bangunan Prefabrikasi,0.0
Jawa Barat,Kayu Alam,Hutan Tanaman Industri,Blockboard,Bangunan Prefabrikasi,5.29
Bali,Kayu Alam,Hutan Tanaman Industri,Blockboard,Bangunan Prefabrikasi,0.0
Kalimantan Timur,Kayu Alam,Hutan Tanaman Industri,Blockboard,Bangunan Prefabrikasi,0.0
Jawa Barat,Kayu Alam,Hutan Tanaman Industri,Blockboard,Bangunan Prefabrikasi,234.15
Sumatera Selatan,Kayu Alam,Hutan Tanaman Industri,Chipwood,Bangunan Prefabrikasi,957623.91
Jambi,Kayu Alam,Hutan Tanaman Industri,Chipwood,Bangunan Prefabrikasi,268003.45
Kalimantan Selatan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,5453.65
Maluku,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,81.06
Kalimantan Selatan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,3081.52
Sulawesi Selatan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Kalimantan Selatan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Sulawesi Selatan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Daerah Istimewa Yogyakarta,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,279.79
Kalimantan Timur,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,6429.21
Kalimantan Barat,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,1201.78
Sulawesi Tengah,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,2327.47
Papua,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,9033.78
Lampung,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,6193.27
Kalimantan Timur,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,7951.85
Papua Barat,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,9589.31
Sulawesi Tenggara,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,1699.5
Jawa Tengah,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,51371.49
Bengkulu,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Sulawesi Selatan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,957.53
Lampung,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,4743.91
Kalimantan Tengah,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,6122.49
Papua,Kayu Alam,Hutan Tanaman Industri,Kayu Lapis dan LVL,Bangunan Prefabrikasi,16242.54
Bali,Kayu Alam,Hutan Tanaman Industri,Kayu Lapis dan LVL,Bangunan Prefabrikasi,522.97
Maluku,Kayu Alam,Hutan Tanaman Industri,Kayu Lapis dan LVL,Bangunan Prefabrikasi,189.75
Jawa Tengah,Kayu Alam,Hutan Tanaman Industri,Particle Board,Bangunan Prefabrikasi,0.0
Jawa Timur,Kayu Alam,Hutan Tanaman Industri,Particle Board,Bangunan Prefabrikasi,260.09
Sumatera Utara,Kayu Alam,Hutan Tanaman Industri,Pulp,Bangunan Prefabrikasi,17554.6
Jambi,Kayu Alam,Hutan Tanaman Industri,Pulp,Bangunan Prefabrikasi,94563.66
Riau,Kayu Alam,Hutan Tanaman Industri,Pulp,Bangunan Prefabrikasi,364204.29
Riau,Kayu Alam,Hutan Tanaman Industri,Pulp,Bangunan Prefabrikasi,409816.55
Riau,Kayu Alam,Hutan Tanaman Industri,Pulp,Bangunan Prefabrikasi,366754.34
Papua Barat,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,0.0
Papua Barat,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,426.68
Jambi,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,4919.82
Jambi,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,4588.55
Aceh,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,691.1
Kalimantan Tengah,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,2332.52
Lampung,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,2662.49
Sulawesi Tengah,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,0.0
Sumatera Selatan,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,3082.69
Jambi,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,5151.63
Jambi,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,4419.43
Kalimantan Tengah,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,3742.18
