tahun,bulan,provinsi,produk,value usd
2023,Januari,Bali,Bangunan Prefabrikasi,147602.62
2023,Januari,DI Yogyakarta,Bangunan Prefabrikasi,12250
2023,Januari,Jawa Tengah,Bangunan Prefabrikasi,27477.92
2023,Januari,Sulawesi Utara,Bangunan Prefabrikasi,0
2023,Februari,Bali,Bangunan Prefabrikasi,44620.69
2023,Februari,DI Yogyakarta,Bangunan Prefabrikasi,0
2023,Februari,Jawa Tengah,Bangunan Prefabrikasi,34889.08
2023,Februari,Sulawesi Utara,Bangunan Prefabrikasi,0
2023,Maret,Bali,Bangunan Prefabrikasi,64070.13
2023,Maret,DI Yogyakarta,Bangunan Prefabrikasi,12200
2023,Maret,Jawa Tengah,Bangunan Prefabrikasi,35878.71
2023,Maret,Sulawesi Utara,Bangunan Prefabrikasi,18500
2023,April,Bali,Bangunan Prefabrikasi,374719.03
2023,April,DI Yogyakarta,Bangunan Prefabrikasi,7550
2023,April,Jawa Tengah,Bangunan Prefabrikasi,23739.19
2023,April,Sulawesi Utara,Bangunan Prefabrikasi,0
2023,Mei,Bali,Bangunan Prefabrikasi,0
2023,Mei,DI Yogyakarta,Bangunan Prefabrikasi,0
2023,Mei,Jawa Tengah,Bangunan Prefabrikasi,0
2023,Mei,Sulawesi Utara,Bangunan Prefabrikasi,0
2023,Juni,Bali,Bangunan Prefabrikasi,0
2023,Juni,DI Yogyakarta,Bangunan Prefabrikasi,0
2023,Juni,Jawa Tengah,Bangunan Prefabrikasi,0
2023,Juni,Sulawesi Utara,Bangunan Prefabrikasi,0
2023,Juli,Bali,Bangunan Prefabrikasi,0
2023,Juli,DI Yogyakarta,Bangunan Prefabrikasi,0
2023,Juli,Jawa Tengah,Bangunan Prefabrikasi,0
2023,Juli,Sulawesi Utara,Bangunan Prefabrikasi,0
2023,Agustus,Bali,Bangunan Prefabrikasi,0
2023,Agustus,DI Yogyakarta,Bangunan Prefabrikasi,0
2023,Agustus,Jawa Tengah,Bangunan Prefabrikasi,0
2023,Agustus,Sulawesi Utara,Bangunan Prefabrikasi,0
2023,September,Bali,Bangunan Prefabrikasi,0
2023,September,DI Yogyakarta,Bangunan Prefabrikasi,0
2023,September,Jawa Tengah,Bangunan Prefabrikasi,0
2023,September,Sulawesi Utara,Bangunan Prefabrikasi,0
2023,Oktober,Bali,Bangunan Prefabrikasi,0
2023,Oktober,DI Yogyakarta,Bangunan Prefabrikasi,0
2023,Oktober,Jawa Tengah,Bangunan Prefabrikasi,0
2023,Oktober,Sulawesi Utara,Bangunan Prefabrikasi,0
2023,November,Bali,Bangunan Prefabrikasi,0
2023,November,DI Yogyakarta,Bangunan Prefabrikasi,0
2023,November,Jawa Tengah,Bangunan Prefabrikasi,0
2023,November,Sulawesi Utara,Bangunan Prefabrikasi,0
2023,Desember,Bali,Bangunan Prefabrikasi,0
2023,Desember,DI Yogyakarta,Bangunan Prefabrikasi,0
2023,Desember,Jawa Tengah,Bangunan Prefabrikasi,0
