tahun,bulan,provinsi,jenis,value
2023,Januari,Aceh,Kayu Alam,0
2023,Januari,Bali,Kayu Alam,0
2023,Januari,Banten,Kayu Alam,0
2023,Januari,Bengkulu,Kayu Alam,0
2023,Januari,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,Januari,Gorontalo,Kayu Alam,2956.72
2023,Januari,Impor Bahan Baku,Kayu Alam,50.64
2023,Januari,Jambi,Kayu Alam,7572.94
2023,Januari,Jawa Barat,Kayu Alam,0
2023,Januari,Jawa Tengah,Kayu Alam,19858.45
2023,Januari,Jawa Timur,Kayu Alam,35139.1
2023,Januari,Kalimantan Barat,Kayu Alam,9185.15
2023,Januari,Kalimantan Selatan,Kayu Alam,3185.84
2023,Januari,Kalimantan Tengah,Kayu Alam,57687.42
2023,Januari,Kalimantan Timur,Kayu Alam,77307.66
2023,Januari,Kalimantan Utara,Kayu Alam,33152.08
2023,Januari,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,Januari,Lampung,Kayu Alam,0
2023,Januari,Maluku,Kayu Alam,7736.86
2023,Januari,Maluku Utara,Kayu Alam,5088.56
2023,Januari,Nusa Tenggara Barat,Kayu Alam,0
2023,Januari,Papua,Kayu Alam,18464.12
2023,Januari,Papua Barat,Kayu Alam,14525.92
2023,Januari,Riau,Kayu Alam,4026.07
2023,Januari,Sulawesi Barat,Kayu Alam,0
2023,Januari,Sulawesi Selatan,Kayu Alam,0
2023,Januari,Sulawesi Tengah,Kayu Alam,3787.25
2023,Januari,Sulawesi Tenggara,Kayu Alam,699.62
2023,Januari,Sumatera Barat,Kayu Alam,475.79
2023,Januari,Sumatera Selatan,Kayu Alam,389.23
2023,Januari,Sumatera Utara,Kayu Alam,2659.93
2023,Februari,Aceh,Kayu Alam,0
2023,Februari,Bali,Kayu Alam,0
2023,Februari,Banten,Kayu Alam,0
2023,Februari,Bengkulu,Kayu Alam,0
2023,Februari,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,Februari,Gorontalo,Kayu Alam,8862.27
2023,Februari,Impor Bahan Baku,Kayu Alam,65.98
2023,Februari,Jambi,Kayu Alam,6131.99
2023,Februari,Jawa Barat,Kayu Alam,0
2023,Februari,Jawa Tengah,Kayu Alam,20999.65
2023,Februari,Jawa Timur,Kayu Alam,22806.14
2023,Februari,Kalimantan Barat,Kayu Alam,1750.07
2023,Februari,Kalimantan Selatan,Kayu Alam,4348.89
2023,Februari,Kalimantan Tengah,Kayu Alam,118975.9
2023,Februari,Kalimantan Timur,Kayu Alam,52643
2023,Februari,Kalimantan Utara,Kayu Alam,25942.55
2023,Februari,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,Februari,Lampung,Kayu Alam,0
2023,Februari,Maluku,Kayu Alam,6743.72
2023,Februari,Maluku Utara,Kayu Alam,7104.35
2023,Februari,Nusa Tenggara Barat,Kayu Alam,0
2023,Februari,Papua,Kayu Alam,23055.09
2023,Februari,Papua Barat,Kayu Alam,27171.43
2023,Februari,Riau,Kayu Alam,3880.97
2023,Februari,Sulawesi Barat,Kayu Alam,39.06
2023,Februari,Sulawesi Selatan,Kayu Alam,0
2023,Februari,Sulawesi Tengah,Kayu Alam,2342.95
2023,Februari,Sulawesi Tenggara,Kayu Alam,2529.09
2023,Februari,Sumatera Barat,Kayu Alam,307.88
2023,Februari,Sumatera Selatan,Kayu Alam,419.47
2023,Februari,Sumatera Utara,Kayu Alam,5282.25
2023,Maret,Aceh,Kayu Alam,0
2023,Maret,Bali,Kayu Alam,0
2023,Maret,Banten,Kayu Alam,0
2023,Maret,Bengkulu,Kayu Alam,0
2023,Maret,Daerah Istimewa Yogyakarta,Kayu Alam,0
2023,Maret,Gorontalo,Kayu Alam,2427.87
2023,Maret,Impor Bahan Baku,Kayu Alam,0
2023,Maret,Jambi,Kayu Alam,2989.38
2023,Maret,Jawa Barat,Kayu Alam,0
2023,Maret,Jawa Tengah,Kayu Alam,27928.05
2023,Maret,Jawa Timur,Kayu Alam,28748.01
2023,Maret,Kalimantan Barat,Kayu Alam,7509.79
2023,Maret,Kalimantan Selatan,Kayu Alam,989.97
2023,Maret,Kalimantan Tengah,Kayu Alam,100851.11
2023,Maret,Kalimantan Timur,Kayu Alam,52944.88
2023,Maret,Kalimantan Utara,Kayu Alam,35302.63
2023,Maret,Kepulauan Bangka-Belitung,Kayu Alam,0
2023,Maret,Lampung,Kayu Alam,0
2023,Maret,Maluku,Kayu Alam,19212.62
2023,Maret,Maluku Utara,Kayu Alam,4755.15
2023,Maret,Nusa Tenggara Barat,Kayu Alam,0
2023,Maret,Papua,Kayu Alam,23885.17
2023,Maret,Papua Barat,Kayu Alam,10237.79
2023,Maret,Riau,Kayu Alam,2240.16
2023,Maret,Sulawesi Barat,Kayu Alam,21.05
2023,Maret,Sulawesi Selatan,Kayu Alam,0
2023,Maret,Sulawesi Tengah,Kayu Alam,3736.23
2023,Maret,Sulawesi Tenggara,Kayu Alam,1325.8
2023,Maret,Sumatera Barat,Kayu Alam,325.24
2023,Maret,Sumatera Selatan,Kayu Alam,12.8
2023,Maret,Sumatera Utara,Kayu Alam,6460.85
2023,April,Aceh,Kayu Alam,0
2023,April,Bali,Kayu Alam,0
2023,April,Banten,Kayu Alam,0
2023,April,Bengkulu,Kayu Alam,0
