tahun,bulan,provinsi,jenis,pnbp
2023,Januari,Kalimantan Utara,DPEH,4683825300
2023,Januari,Sulawesi Tenggara,DPEH,0
2023,Februari,Kalimantan Utara,DPEH,0
2023,Februari,Sulawesi Tenggara,DPEH,0
2023,Maret,Kalimantan Utara,DPEH,0
2023,Maret,Sulawesi Tenggara,DPEH,0
2023,April,Kalimantan Utara,DPEH,0
2023,April,Sulawesi Tenggara,DPEH,1280459700
2023,Mei,Kalimantan Utara,DPEH,0
2023,Mei,Sulawesi Tenggara,DPEH,0
2023,Juni,Kalimantan Utara,DPEH,0
2023,Juni,Sulawesi Tenggara,DPEH,0
2023,Juli,Kalimantan Utara,DPEH,0
2023,Juli,Sulawesi Tenggara,DPEH,0
2023,Agustus,Kalimantan Utara,DPEH,0
2023,Agustus,Sulawesi Tenggara,DPEH,0
2023,September,Kalimantan Utara,DPEH,0
2023,September,Sulawesi Tenggara,DPEH,0
2023,Oktober,Kalimantan Utara,DPEH,0
2023,Oktober,Sulawesi Tenggara,DPEH,0
2023,November,Kalimantan Utara,DPEH,0
2023,November,Sulawesi Tenggara,DPEH,0
2023,Desember,Kalimantan Utara,DPEH,0
2023,Desember,Sulawesi Tenggara,DPEH,0
2023,Januari,Bangka Belitung,DR,0
2023,Januari,Bengkulu,DR,0
2023,Januari,Gorontalo,DR,111546.65
2023,Januari,Jambi,DR,46273.15
2023,Januari,Jawa Timur,DR,16899.8
2023,Januari,Kalimantan Barat,DR,25159.24
2023,Januari,Kalimantan Selatan,DR,58065.11
2023,Januari,Kalimantan Tengah,DR,866455.44
2023,Januari,Kalimantan Timur,DR,2972685.28
2023,Januari,Kalimantan Utara,DR,224996.11
2023,Januari,Kepulauan Riau,DR,36.84
2023,Januari,Lampung,DR,5776.9
2023,Januari,Maluku,DR,38215.34
2023,Januari,Maluku Utara,DR,18186.53
2023,Januari,Nangroe Aceh Darussalam,DR,6928.79
2023,Januari,Nusa Tenggara Barat,DR,8082.07
2023,Januari,Papua,DR,61206.39
2023,Januari,Papua Barat,DR,94184.23
2023,Januari,Riau,DR,26057.04
2023,Januari,Sulawesi Barat,DR,0
2023,Januari,Sulawesi Selatan,DR,19199.66
2023,Januari,Sulawesi Tengah,DR,47507.28
2023,Januari,Sulawesi Tenggara,DR,51580.8
2023,Januari,Sulawesi Utara,DR,2337.46
2023,Januari,Sumatera Barat,DR,61213.97
2023,Januari,Sumatera Selatan,DR,6224.69
2023,Januari,Sumatera Utara,DR,60138.51
2023,Februari,Bangka Belitung,DR,0
2023,Februari,Bengkulu,DR,0
2023,Februari,Gorontalo,DR,45036.26
2023,Februari,Jambi,DR,46358.71
2023,Februari,Jawa Timur,DR,0
2023,Februari,Kalimantan Barat,DR,211085.85
2023,Februari,Kalimantan Selatan,DR,356129.03
2023,Februari,Kalimantan Tengah,DR,3879026.27
2023,Februari,Kalimantan Timur,DR,479608.01
2023,Februari,Kalimantan Utara,DR,596306.85
2023,Februari,Kepulauan Riau,DR,133.72
2023,Februari,Lampung,DR,0
2023,Februari,Maluku,DR,156607.11
2023,Februari,Maluku Utara,DR,62252.85
2023,Februari,Nangroe Aceh Darussalam,DR,12572.74
2023,Februari,Nusa Tenggara Barat,DR,3977.73
2023,Februari,Papua,DR,130888.5
2023,Februari,Papua Barat,DR,279949.87
2023,Februari,Riau,DR,29526.88
2023,Februari,Sulawesi Barat,DR,917.93
2023,Februari,Sulawesi Selatan,DR,33297.6
2023,Februari,Sulawesi Tengah,DR,144195.12
2023,Februari,Sulawesi Tenggara,DR,73856.37
2023,Februari,Sulawesi Utara,DR,1710.66
2023,Februari,Sumatera Barat,DR,76009.02
2023,Februari,Sumatera Selatan,DR,37288.54
2023,Februari,Sumatera Utara,DR,172281.84
2023,Maret,Bangka Belitung,DR,3570.51
2023,Maret,Bengkulu,DR,186.87
2023,Maret,Gorontalo,DR,169283.61
2023,Maret,Jambi,DR,35456.07
2023,Maret,Jawa Timur,DR,0
2023,Maret,Kalimantan Barat,DR,438897.7
2023,Maret,Kalimantan Selatan,DR,5434.42
2023,Maret,Kalimantan Tengah,DR,2415383.28
2023,Maret,Kalimantan Timur,DR,868109.58
2023,Maret,Kalimantan Utara,DR,977377.75
2023,Maret,Kepulauan Riau,DR,16899.3
2023,Maret,Lampung,DR,0
2023,Maret,Maluku,DR,184718.85
2023,Maret,Maluku Utara,DR,144855.84
2023,Maret,Nangroe Aceh Darussalam,DR,12232.48
2023,Maret,Nusa Tenggara Barat,DR,11257.28
2023,Maret,Papua,DR,280187.03
2023,Maret,Papua Barat,DR,326154.08
2023,Maret,Riau,DR,21016.79
2023,Maret,Sulawesi Barat,DR,2234
2023,Maret,Sulawesi Selatan,DR,23661.52
2023,Maret,Sulawesi Tengah,DR,113783.39
2023,Maret,Sulawesi Tenggara,DR,58962.11
2023,Maret,Sulawesi Utara,DR,20524.48
2023,Maret,Sumatera Barat,DR,110805.84
2023,Maret,Sumatera Selatan,DR,13548.84
2023,Maret,Sumatera Utara,DR,55055.4
2023,April,Bangka Belitung,DR,0
2023,April,Bengkulu,DR,0
2023,April,Gorontalo,DR,2550.48
2023,April,Jambi,DR,29152.53
2023,April,Jawa Timur,DR,0
2023,April,Kalimantan Barat,DR,227215.92
2023,April,Kalimantan Selatan,DR,889.03
2023,April,Kalimantan Tengah,DR,1475596.27
2023,April,Kalimantan Timur,DR,918981.68
2023,April,Kalimantan Utara,DR,845424.18
2023,April,Kepulauan Riau,DR,73.63
2023,April,Lampung,DR,0
2023,April,Maluku,DR,199285.94
2023,April,Maluku Utara,DR,32162.8
2023,April,Nangroe Aceh Darussalam,DR,7771.36
2023,April,Nusa Tenggara Barat,DR,3577.25
2023,April,Papua,DR,199294.18
2023,April,Papua Barat,DR,299094.59
2023,April,Riau,DR,1711.32
2023,April,Sulawesi Barat,DR,889.13
2023,April,Sulawesi Selatan,DR,461.64
2023,April,Sulawesi Tengah,DR,42966.33
2023,April,Sulawesi Tenggara,DR,54257.84
2023,April,Sulawesi Utara,DR,0
2023,April,Sumatera Barat,DR,77753.37
2023,April,Sumatera Selatan,DR,0
2023,April,Sumatera Utara,DR,143364.93
2023,Mei,Bangka Belitung,DR,0
2023,Mei,Bengkulu,DR,0
2023,Mei,Gorontalo,DR,0
2023,Mei,Jambi,DR,0
2023,Mei,Jawa Timur,DR,0
2023,Mei,Kalimantan Barat,DR,0
2023,Mei,Kalimantan Selatan,DR,0
2023,Mei,Kalimantan Tengah,DR,0
2023,Mei,Kalimantan Timur,DR,0
2023,Mei,Kalimantan Utara,DR,0
2023,Mei,Kepulauan Riau,DR,0
2023,Mei,Lampung,DR,0
2023,Mei,Maluku,DR,0
2023,Mei,Maluku Utara,DR,0
2023,Mei,Nangroe Aceh Darussalam,DR,0
2023,Mei,Nusa Tenggara Barat,DR,0
2023,Mei,Papua,DR,0
2023,Mei,Papua Barat,DR,0
2023,Mei,Riau,DR,0
2023,Mei,Sulawesi Barat,DR,0
2023,Mei,Sulawesi Selatan,DR,0
2023,Mei,Sulawesi Tengah,DR,0
2023,Mei,Sulawesi Tenggara,DR,0
2023,Mei,Sulawesi Utara,DR,0
2023,Mei,Sumatera Barat,DR,0
2023,Mei,Sumatera Selatan,DR,0
2023,Mei,Sumatera Utara,DR,0
2023,Juni,Bangka Belitung,DR,0
2023,Juni,Bengkulu,DR,0
2023,Juni,Gorontalo,DR,0
2023,Juni,Jambi,DR,0
2023,Juni,Jawa Timur,DR,0
2023,Juni,Kalimantan Barat,DR,0
2023,Juni,Kalimantan Selatan,DR,0
2023,Juni,Kalimantan Tengah,DR,0
2023,Juni,Kalimantan Timur,DR,0
2023,Juni,Kalimantan Utara,DR,0
2023,Juni,Kepulauan Riau,DR,0
2023,Juni,Lampung,DR,0
2023,Juni,Maluku,DR,0
2023,Juni,Maluku Utara,DR,0
2023,Juni,Nangroe Aceh Darussalam,DR,0
2023,Juni,Nusa Tenggara Barat,DR,0
2023,Juni,Papua,DR,0
2023,Juni,Papua Barat,DR,0
2023,Juni,Riau,DR,0
2023,Juni,Sulawesi Barat,DR,0
2023,Juni,Sulawesi Selatan,DR,0
2023,Juni,Sulawesi Tengah,DR,0
2023,Juni,Sulawesi Tenggara,DR,0
2023,Juni,Sulawesi Utara,DR,0
2023,Juni,Sumatera Barat,DR,0
2023,Juni,Sumatera Selatan,DR,0
2023,Juni,Sumatera Utara,DR,0
2023,Juli,Bangka Belitung,DR,0
2023,Juli,Bengkulu,DR,0
2023,Juli,Gorontalo,DR,0
2023,Juli,Jambi,DR,0
2023,Juli,Jawa Timur,DR,0
2023,Juli,Kalimantan Barat,DR,0
2023,Juli,Kalimantan Selatan,DR,0
2023,Juli,Kalimantan Tengah,DR,0
2023,Juli,Kalimantan Timur,DR,0
2023,Juli,Kalimantan Utara,DR,0
2023,Juli,Kepulauan Riau,DR,0
2023,Juli,Lampung,DR,0
2023,Juli,Maluku,DR,0
2023,Juli,Maluku Utara,DR,0
2023,Juli,Nangroe Aceh Darussalam,DR,0
2023,Juli,Nusa Tenggara Barat,DR,0
2023,Juli,Papua,DR,0
2023,Juli,Papua Barat,DR,0
2023,Juli,Riau,DR,0
2023,Juli,Sulawesi Barat,DR,0
2023,Juli,Sulawesi Selatan,DR,0
2023,Juli,Sulawesi Tengah,DR,0
2023,Juli,Sulawesi Tenggara,DR,0
2023,Juli,Sulawesi Utara,DR,0
2023,Juli,Sumatera Barat,DR,0
2023,Juli,Sumatera Selatan,DR,0
2023,Juli,Sumatera Utara,DR,0
2023,Agustus,Bangka Belitung,DR,0
2023,Agustus,Bengkulu,DR,0
2023,Agustus,Gorontalo,DR,0
2023,Agustus,Jambi,DR,0
2023,Agustus,Jawa Timur,DR,0
2023,Agustus,Kalimantan Barat,DR,0
2023,Agustus,Kalimantan Selatan,DR,0
2023,Agustus,Kalimantan Tengah,DR,0
2023,Agustus,Kalimantan Timur,DR,0
2023,Agustus,Kalimantan Utara,DR,0
2023,Agustus,Kepulauan Riau,DR,0
2023,Agustus,Lampung,DR,0
2023,Agustus,Maluku,DR,0
2023,Agustus,Maluku Utara,DR,0
2023,Agustus,Nangroe Aceh Darussalam,DR,0
2023,Agustus,Nusa Tenggara Barat,DR,0
2023,Agustus,Papua,DR,0
2023,Agustus,Papua Barat,DR,0
2023,Agustus,Riau,DR,0
2023,Agustus,Sulawesi Barat,DR,0
2023,Agustus,Sulawesi Selatan,DR,0
2023,Agustus,Sulawesi Tengah,DR,0
2023,Agustus,Sulawesi Tenggara,DR,0
2023,Agustus,Sulawesi Utara,DR,0
2023,Agustus,Sumatera Barat,DR,0
2023,Agustus,Sumatera Selatan,DR,0
2023,Agustus,Sumatera Utara,DR,0
2023,September,Bangka Belitung,DR,0
2023,September,Bengkulu,DR,0
2023,September,Gorontalo,DR,0
2023,September,Jambi,DR,0
2023,September,Jawa Timur,DR,0
2023,September,Kalimantan Barat,DR,0
2023,September,Kalimantan Selatan,DR,0
2023,September,Kalimantan Tengah,DR,0
2023,September,Kalimantan Timur,DR,0
2023,September,Kalimantan Utara,DR,0
2023,September,Kepulauan Riau,DR,0
2023,September,Lampung,DR,0
2023,September,Maluku,DR,0
2023,September,Maluku Utara,DR,0
2023,September,Nangroe Aceh Darussalam,DR,0
2023,September,Nusa Tenggara Barat,DR,0
2023,September,Papua,DR,0
2023,September,Papua Barat,DR,0
2023,September,Riau,DR,0
2023,September,Sulawesi Barat,DR,0
2023,September,Sulawesi Selatan,DR,0
2023,September,Sulawesi Tengah,DR,0
2023,September,Sulawesi Tenggara,DR,0
2023,September,Sulawesi Utara,DR,0
2023,September,Sumatera Barat,DR,0
2023,September,Sumatera Selatan,DR,0
2023,September,Sumatera Utara,DR,0
2023,Oktober,Bangka Belitung,DR,0
2023,Oktober,Bengkulu,DR,0
2023,Oktober,Gorontalo,DR,0
2023,Oktober,Jambi,DR,0
2023,Oktober,Jawa Timur,DR,0
2023,Oktober,Kalimantan Barat,DR,0
2023,Oktober,Kalimantan Selatan,DR,0
2023,Oktober,Kalimantan Tengah,DR,0
2023,Oktober,Kalimantan Timur,DR,0
2023,Oktober,Kalimantan Utara,DR,0
2023,Oktober,Kepulauan Riau,DR,0
2023,Oktober,Lampung,DR,0
2023,Oktober,Maluku,DR,0
2023,Oktober,Maluku Utara,DR,0
2023,Oktober,Nangroe Aceh Darussalam,DR,0
2023,Oktober,Nusa Tenggara Barat,DR,0
2023,Oktober,Papua,DR,0
2023,Oktober,Papua Barat,DR,0
2023,Oktober,Riau,DR,0
2023,Oktober,Sulawesi Barat,DR,0
2023,Oktober,Sulawesi Selatan,DR,0
2023,Oktober,Sulawesi Tengah,DR,0
2023,Oktober,Sulawesi Tenggara,DR,0
2023,Oktober,Sulawesi Utara,DR,0
2023,Oktober,Sumatera Barat,DR,0
2023,Oktober,Sumatera Selatan,DR,0
2023,Oktober,Sumatera Utara,DR,0
2023,November,Bangka Belitung,DR,0
2023,November,Bengkulu,DR,0
2023,November,Gorontalo,DR,0
2023,November,Jambi,DR,0
2023,November,Jawa Timur,DR,0
2023,November,Kalimantan Barat,DR,0
2023,November,Kalimantan Selatan,DR,0
2023,November,Kalimantan Tengah,DR,0
2023,November,Kalimantan Timur,DR,0
2023,November,Kalimantan Utara,DR,0
2023,November,Kepulauan Riau,DR,0
2023,November,Lampung,DR,0
2023,November,Maluku,DR,0
2023,November,Maluku Utara,DR,0
2023,November,Nangroe Aceh Darussalam,DR,0
2023,November,Nusa Tenggara Barat,DR,0
2023,November,Papua,DR,0
2023,November,Papua Barat,DR,0
2023,November,Riau,DR,0
2023,November,Sulawesi Barat,DR,0
2023,November,Sulawesi Selatan,DR,0
2023,November,Sulawesi Tengah,DR,0
2023,November,Sulawesi Tenggara,DR,0
2023,November,Sulawesi Utara,DR,0
2023,November,Sumatera Barat,DR,0
2023,November,Sumatera Selatan,DR,0
2023,November,Sumatera Utara,DR,0
2023,Desember,Bangka Belitung,DR,0
2023,Desember,Bengkulu,DR,0
2023,Desember,Gorontalo,DR,0
2023,Desember,Jambi,DR,0
