tahun,bulan,provinsi,kelompok,volume,,,,,
2023,Januari,Banten,Hutan Tanaman Industri,224,,,,,
2023,Januari,Jambi,Hutan Tanaman Industri,159779,,,,,
2023,Januari,Jawa Barat,Hutan Tanaman Industri,1150,,total volume,,,282007146
2023,Januari,Jawa Tengah,Hutan Tanaman Industri,2,,,,,
2023,Januari,Jawa Timur,Hutan Tanaman Industri,6,,total volume di tahun 2018,,,50537222
2023,Januari,Kalimantan Barat,Hutan Tanaman Industri,38698,,,,,
2023,Januari,Kalimantan Selatan,Hutan Tanaman Industri,0,,total volume kayu eboni,,,5451
2023,Januari,Kalimantan Tengah,Hutan Tanaman Industri,38076,,,,,
2023,Januari,Kalimantan Timur,Hutan Tanaman Industri,18130,,total volume hutan tanaman industri,,,165672444
2023,Januari,Kalimantan Utara,Hutan Tanaman Industri,12734,,,,,
2023,Januari,Lampung,Hutan Tanaman Industri,3147,,total volume di Jawa Barat,,,583262
2023,Januari,Nusa Tenggara Barat,Hutan Tanaman Industri,6,,,,,
2023,Januari,Papua,Hutan Tanaman Industri,0,,total volume di Bulan Januari,,,18861677
2023,Januari,Riau,Hutan Tanaman Industri,1053910,,,,,
2023,Januari,Sumatera Barat,Hutan Tanaman Industri,1058,,,,,
2023,Januari,Sumatera Selatan,Hutan Tanaman Industri,383494,,,,,
2023,Januari,Sumatera Utara,Hutan Tanaman Industri,0,,,,,
2023,Februari,Banten,Hutan Tanaman Industri,90,,,,,
2023,Februari,Jambi,Hutan Tanaman Industri,188186,,,,,
2023,Februari,Jawa Barat,Hutan Tanaman Industri,769,,,,,
2023,Februari,Jawa Tengah,Hutan Tanaman Industri,26,,,,,
2023,Februari,Jawa Timur,Hutan Tanaman Industri,1219,,,,,
2023,Februari,Kalimantan Barat,Hutan Tanaman Industri,43748,,,,,
2023,Februari,Kalimantan Selatan,Hutan Tanaman Industri,178,,,,,
2023,Februari,Kalimantan Tengah,Hutan Tanaman Industri,33349,,,,,
2023,Februari,Kalimantan Timur,Hutan Tanaman Industri,63951,,,,,
2023,Februari,Kalimantan Utara,Hutan Tanaman Industri,16731,,,,,
2023,Februari,Lampung,Hutan Tanaman Industri,514,,,,,
2023,Februari,Nusa Tenggara Barat,Hutan Tanaman Industri,58,,,,,
2023,Februari,Papua,Hutan Tanaman Industri,1869,,,,,
2023,Februari,Riau,Hutan Tanaman Industri,1649404,,,,,
2023,Februari,Sumatera Barat,Hutan Tanaman Industri,2051,,,,,
