tahun,bulan,provinsi,jenis,volume
2023,Januari,Bali,Bare Core,32.09
2023,Januari,Daerah Istimewa Yogyakarta,Bare Core,561.96
2023,Januari,Jawa Tengah,Bare Core,8110.18
2023,Januari,Jawa Timur,Bare Core,7639.11
2023,Januari,Kalimantan Selatan,Bare Core,180.74
2023,Februari,Bali,Bare Core,42.23
2023,Februari,Daerah Istimewa Yogyakarta,Bare Core,495.57
2023,Februari,Jawa Tengah,Bare Core,5367.83
2023,Februari,Jawa Timur,Bare Core,7345.26
2023,Februari,Kalimantan Selatan,Bare Core,131.1
2023,Maret,Bali,Bare Core,38.85
2023,Maret,Daerah Istimewa Yogyakarta,Bare Core,1087.97
2023,Maret,Jawa Tengah,Bare Core,6316.89
2023,Maret,Jawa Timur,Bare Core,8341.53
2023,Maret,Kalimantan Selatan,Bare Core,287.8
2023,April,Bali,Bare Core,32.09
2023,April,Daerah Istimewa Yogyakarta,Bare Core,0.0
2023,April,Jawa Tengah,Bare Core,3252.74
2023,April,Jawa Timur,Bare Core,4807.98
2023,April,Kalimantan Selatan,Bare Core,137.23
2023,Mei,Bali,Bare Core,0.0
2023,Mei,Daerah Istimewa Yogyakarta,Bare Core,0.0
2023,Mei,Jawa Tengah,Bare Core,0.0
2023,Mei,Jawa Timur,Bare Core,0.0
2023,Mei,Kalimantan Selatan,Bare Core,0.0
2023,Juni,Bali,Bare Core,0.0
2023,Juni,Daerah Istimewa Yogyakarta,Bare Core,0.0
2023,Juni,Jawa Tengah,Bare Core,0.0
2023,Juni,Jawa Timur,Bare Core,0.0
2023,Juni,Kalimantan Selatan,Bare Core,0.0
2023,Juli,Bali,Bare Core,0.0
2023,Juli,Daerah Istimewa Yogyakarta,Bare Core,0.0
2023,Juli,Jawa Tengah,Bare Core,0.0
2023,Juli,Jawa Timur,Bare Core,0.0
2023,Juli,Kalimantan Selatan,Bare Core,0.0
2023,Agustus,Bali,Bare Core,0.0
2023,Agustus,Daerah Istimewa Yogyakarta,Bare Core,0.0
2023,Agustus,Jawa Tengah,Bare Core,0.0
2023,Agustus,Jawa Timur,Bare Core,0.0
2023,Agustus,Kalimantan Selatan,Bare Core,0.0
2023,September,Bali,Bare Core,0.0
2023,September,Daerah Istimewa Yogyakarta,Bare Core,0.0
2023,September,Jawa Tengah,Bare Core,0.0
2023,September,Jawa Timur,Bare Core,0.0
2023,September,Kalimantan Selatan,Bare Core,0.0
2023,Oktober,Bali,Bare Core,0.0
2023,Oktober,Daerah Istimewa Yogyakarta,Bare Core,0.0
2023,Oktober,Jawa Tengah,Bare Core,0.0
2023,Oktober,Jawa Timur,Bare Core,0.0
2023,Oktober,Kalimantan Selatan,Bare Core,0.0
2023,November,Bali,Bare Core,0.0
2023,November,Daerah Istimewa Yogyakarta,Bare Core,0.0
2023,November,Jawa Tengah,Bare Core,0.0
2023,November,Jawa Timur,Bare Core,0.0
2023,November,Kalimantan Selatan,Bare Core,0.0
2023,Desember,Bali,Bare Core,0.0
2023,Desember,Daerah Istimewa Yogyakarta,Bare Core,0.0
2023,Desember,Jawa Tengah,Bare Core,0.0
2023,Desember,Jawa Timur,Bare Core,0.0
2023,Desember,Kalimantan Selatan,Bare Core,0.0
2023,Januari,Papua,Biomassa Kayu,86.93
2023,Januari,Sumatera Selatan,Biomassa Kayu,33.33
2023,Februari,Papua,Biomassa Kayu,157.44
2023,Februari,Sumatera Selatan,Biomassa Kayu,13.29
2023,Maret,Papua,Biomassa Kayu,230.21
2023,Maret,Sumatera Selatan,Biomassa Kayu,33.4
2023,April,Papua,Biomassa Kayu,110.35
2023,April,Sumatera Selatan,Biomassa Kayu,11.28
2023,Mei,Papua,Biomassa Kayu,0.0
2023,Mei,Sumatera Selatan,Biomassa Kayu,0.0
2023,Juni,Papua,Biomassa Kayu,0.0
2023,Juni,Sumatera Selatan,Biomassa Kayu,0.0
2023,Juli,Papua,Biomassa Kayu,0.0
2023,Juli,Sumatera Selatan,Biomassa Kayu,0.0
2023,Agustus,Papua,Biomassa Kayu,0.0
2023,Agustus,Sumatera Selatan,Biomassa Kayu,0.0
2023,September,Papua,Biomassa Kayu,0.0
2023,September,Sumatera Selatan,Biomassa Kayu,0.0
2023,Oktober,Papua,Biomassa Kayu,0.0
2023,Oktober,Sumatera Selatan,Biomassa Kayu,0.0
2023,November,Papua,Biomassa Kayu,0.0
2023,November,Sumatera Selatan,Biomassa Kayu,0.0
2023,Desember,Papua,Biomassa Kayu,0.0
2023,Desember,Sumatera Selatan,Biomassa Kayu,0.0
2023,Januari,Bali,Blockboard,30.01
2023,Januari,Daerah Istimewa Yogyakarta,Blockboard,396.7
2023,Januari,Jawa Tengah,Blockboard,10298.08
2023,Januari,Jawa Timur,Blockboard,11877.68
2023,Januari,Kalimantan Selatan,Blockboard,108.24
2023,Januari,Kalimantan Timur,Blockboard,37.51
2023,Februari,Bali,Blockboard,38.58
2023,Februari,Daerah Istimewa Yogyakarta,Blockboard,711.29
2023,Februari,Jawa Tengah,Blockboard,8490.54
2023,Februari,Jawa Timur,Blockboard,10934.55
2023,Februari,Kalimantan Selatan,Blockboard,77.69
2023,Februari,Kalimantan Timur,Blockboard,0.0
2023,Maret,Bali,Blockboard,68.59
2023,Maret,Daerah Istimewa Yogyakarta,Blockboard,698.04
2023,Maret,Jawa Tengah,Blockboard,7069.07
2023,Maret,Jawa Timur,Blockboard,11723.52
2023,Maret,Kalimantan Selatan,Blockboard,0.0
2023,Maret,Kalimantan Timur,Blockboard,0.0
2023,April,Bali,Blockboard,19.29
2023,April,Daerah Istimewa Yogyakarta,Blockboard,0.0
2023,April,Jawa Tengah,Blockboard,4930.83
2023,April,Jawa Timur,Blockboard,8193.56
2023,April,Kalimantan Selatan,Blockboard,0.0
2023,April,Kalimantan Timur,Blockboard,0.0
2023,Mei,Bali,Blockboard,0.0
2023,Mei,Daerah Istimewa Yogyakarta,Blockboard,0.0
2023,Mei,Jawa Tengah,Blockboard,0.0
2023,Mei,Jawa Timur,Blockboard,0.0
2023,Mei,Kalimantan Selatan,Blockboard,0.0
2023,Mei,Kalimantan Timur,Blockboard,0.0
2023,Juni,Bali,Blockboard,0.0
2023,Juni,Daerah Istimewa Yogyakarta,Blockboard,0.0
2023,Juni,Jawa Tengah,Blockboard,0.0
2023,Juni,Jawa Timur,Blockboard,0.0
2023,Juni,Kalimantan Selatan,Blockboard,0.0
2023,Juni,Kalimantan Timur,Blockboard,0.0
2023,Juli,Bali,Blockboard,0.0
2023,Juli,Daerah Istimewa Yogyakarta,Blockboard,0.0
2023,Juli,Jawa Tengah,Blockboard,0.0
2023,Juli,Jawa Timur,Blockboard,0.0
2023,Juli,Kalimantan Selatan,Blockboard,0.0
